OBJECTID,ZIP_CODE,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
307,02809,307,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
308,02813,308,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
309,02814,309,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
310,02816,310,2,0.017564182,0.093712814,0.132529929,0.038817115,0.113121372,0.019408558,0.226242743
311,02817,311,2,0.017564182,0.093712814,0.093712814,0,0.093712814,0,0.187425628
312,02822,312,1,0.008782091,0,0,0,0,0,0
313,02825,313,2,0.017564182,0.187425628,0.187425628,0,0.187425628,0,0.374851257
314,02826,314,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
315,02827,315,1,0.008782091,0.187425628,0.187425628,0,0.187425628,0,0.187425628
316,02828,316,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
317,02832,317,1,0.008782091,0,0,0,0,0,0
318,02835,318,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
319,02837,319,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
320,02842,320,1,0.008782091,0,0,0,0,0,0
321,02852,321,1,0.008782091,0,0,0,0,0,0
322,02857,322,2,0.017564182,0.093712814,0.132529929,0.038817115,0.113121372,0.019408558,0.226242743
323,02859,323,1,0.008782091,0,0,0,0,0,0
324,02860,324,1,0.008782091,0,0,0,0,0,0
325,02864,325,1,0.008782091,0,0,0,0,0,0
326,02865,326,1,0.008782091,0,0,0,0,0,0
327,02874,327,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
328,02878,328,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
329,02879,329,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
330,02882,330,1,0.008782091,0,0,0,0,0,0
331,02886,331,1,0.008782091,0,0,0,0,0,0
332,02889,332,1,0.008782091,0,0,0,0,0,0
333,02891,333,1,0.008782091,0,0,0,0,0,0
