OBJECTID,ZCTA5CE10,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
283,75158,283,2,0.017564182,0.132529929,0.20954822,0.077018291,0.171039075,0.038509145,0.342078149
284,80476,284,1,0.008782091,0.20954822,0.20954822,0,0.20954822,0,0.20954822
285,80478,285,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
286,80479,286,3,0.026346273,0.28113842,0.477843463,0.196705043,0.37794438,0.080334277,1.13383314
287,75159,287,3,0.026346273,0.187425628,0.20954822,0.022122592,0.194799826,0.01042869,0.584399477
288,70471,288,1,0.008782091,0,0,0,0,0,0
289,80480,289,44,0.386412007,0.187425628,0.731920481,0.544494852,0.46220747,0.139602481,20.3371287
290,80481,290,2,0.017564182,0.20954822,0.296345919,0.086797699,0.25294707,0.04339885,0.505894139
291,75160,291,4,0.035128364,0,0.20954822,0.20954822,0.099243462,0.074292632,0.396973848
292,80482,292,4,0.035128364,0.132529929,0.265059859,0.132529929,0.204171557,0.047163877,0.816686228
293,80483,293,2,0.017564182,0.386387825,0.41909644,0.032708615,0.402742133,0.016354308,0.805484265
294,70501,294,1,0.008782091,0,0,0,0,0,0
295,42044,295,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
296,42045,296,2,0.017564182,0.132529929,0.187425628,0.054895699,0.159977779,0.02744785,0.319955558
297,42047,297,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
298,42049,298,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
299,48507,299,1,0.008782091,0,0,0,0,0,0
300,42050,300,4,0.035128364,0.093712814,0.296345919,0.202633105,0.183034221,0.077575013,0.732136883
301,42051,301,2,0.017564182,0.093712814,0.132529929,0.038817115,0.113121372,0.019408558,0.226242743
302,42053,302,3,0.026346273,0.187425628,0.265059859,0.07763423,0.220677902,0.032656503,0.662033707
