XCoord,YCoord,JOIN_COUNT,ZIPCODE
-117.4595014,44.57381011,0,97905
-117.7735179,43.52610355,0,97906
-117.3430635,44.41020705,0,97907
-117.9394264,44.30927771,0,97908
-117.4189361,44.24651393,0,97909
-118.0570858,43.754203,0,97911
-117.0840538,44.113238,1,97914
-117.3611334,44.04161737,0,97918
-117.8464303,44.07266062,0,97920
-94.3341337,34.24354666,0,71944
-97.5295292,35.51831151,1,73118
-94.33954704,34.4840343,0,71945
-97.56612641,35.42200675,1,73119
-93.21888733,34.69502291,0,71949
-93.71028969,34.24822423,0,71950
-93.85360448,34.30391493,0,71952
-97.57223397,35.58042305,4,73120
-97.44092477,35.52107512,0,73121
-97.61433007,35.51987273,0,73122
-97.65391951,35.47755387,0,73127
-97.64342616,35.45033673,0,73128
-97.48428238,35.43148072,1,73129
-94.19488115,34.61428097,2,71953
-97.34563303,35.45863403,0,73130
-97.46432237,35.57670242,0,73131
-93.1538585,34.59765097,0,71956
-97.6398999,35.55092663,0,73132
-97.56844809,35.61416679,1,73134
-93.58001416,34.56371674,0,71957
-97.42884889,35.3948301,0,73135
-97.52560028,35.38472454,1,73139
-93.66606497,34.11257683,1,71958
-97.39777169,35.51693636,0,73141
-93.9329272,34.24727779,0,71959
-97.64245256,35.61374076,0,73142
-122.4107459,37.80470025,0,94133
-122.411794,37.71934756,0,94134
-122.3867043,37.76936306,0,94158
-122.1499172,37.44413137,2,94301
-122.1185662,37.4508041,0,94303
-122.173959,37.38177515,5,94304
-122.1709729,37.41718158,1,94305
-122.1307651,37.41573027,0,94306
-122.3169702,37.57696841,1,94401
-122.333194,37.54097832,0,94402
-122.3045158,37.53847701,1,94403
-122.2688719,37.55596645,0,94404
-122.2780485,37.77408431,1,94501
-122.2455498,37.73720615,0,94502
-122.2629377,38.18421014,0,94503
-121.5863142,37.8675387,0,94505
-121.9063656,37.80813435,0,94506
-122.0211193,37.85040958,0,94507
-87.46496484,37.24160683,0,42440
-84.67970873,43.37767532,6,48801
-87.66824778,37.354878,0,42441
-88.52326651,30.42497676,0,39563
-84.49754235,43.18498834,2,48806
-87.49558383,37.16370134,0,42442
-84.40483336,43.15302442,0,48807
-84.44825835,42.82564207,0,48808
-85.25824893,43.0653726,0,48809
-87.85472196,37.1302162,1,42445
-88.75917224,30.40434438,1,39564
-84.85499468,43.18110104,3,48811
-87.76328562,37.39610403,0,42450
-88.74310807,30.58047757,0,39565
-87.39148483,37.88632209,0,42451
-87.53226278,37.68824542,0,42452
-87.60339067,37.158003,0,42453
-88.58198429,30.28758655,1,39567
-84.84538218,42.58014595,2,48813
-87.54169311,37.58709797,0,42455
-85.25710491,42.84129185,1,48815
-83.95461864,42.76411719,0,48816
-87.4943194,37.51336334,0,42456
-87.42359203,37.84120719,0,42458
-84.03861146,43.01789465,2,48817
-84.89215796,43.27546853,0,48818
-88.0153584,37.55855683,0,42459
-121.520255,38.6420374,0,95834
-121.5257622,38.67074469,0,95835
-121.5915066,38.70044102,0,95837
-121.4449572,38.64674688,0,95838
-121.3473905,38.66037149,1,95841
-121.3491425,38.68681117,0,95842
-121.3634219,38.71546176,0,95843
-121.3763587,38.5853831,0,95864
-121.4915826,39.22183831,2,95901
-121.3682839,39.10251945,0,95903
-120.82264,39.4744124,0,95910
-122.0618177,39.01651261,0,95912
-121.363293,39.40995631,0,95914
-121.2087185,39.97545089,0,95915
-85.26147385,35.10095781,0,37351
-86.35526445,35.28091509,0,37352
-82.08053776,28.54900877,0,33597
-84.98660646,35.11873699,0,37353
-82.28171351,27.68651956,0,33598
